Date,Time,COI change in number of barrels (million)
Oct 21, 2020,09:30,-1.001
Oct 15, 2020,10:00,-3.818
Oct 07, 2020,09:30,0.501
Sep 30, 2020,09:30,-1.980
Sep 23, 2020,09:30,-1.639
Sep 16, 2020,09:30,-4.389
Sep 10, 2020,10:00,2.032
Sep 02, 2020,09:30,-9.362
Aug 26, 2020,09:30,-4.689
Aug 19, 2020,09:30,-1.632
Aug 12, 2020,09:30,-4.512
Aug 05, 2020,09:30,-7.373
Jul 29, 2020,09:30,-10.612
Jul 22, 2020,09:30,4.892
Jul 15, 2020,09:30,-7.493
Jul 08, 2020,09:30,5.654
Jul 01, 2020,09:30,-7.195
Jun 24, 2020,09:30,1.442
Jun 17, 2020,09:30,1.215
Jun 10, 2020,09:30,5.720
Jun 03, 2020,09:30,-2.077
ay 28, 2020,10:00,7.928
ay 20, 2020,09:30,-4.983
ay 13, 2020,09:30,-0.745
ay 06, 2020,09:30,4.590
Apr 29, 2020,09:30,8.991
Apr 22, 2020,09:30,15.022
Apr 15, 2020,09:30,19.248
Apr 08, 2020,09:30,15.177
Apr 01, 2020,09:30,13.834
ar 25, 2020,09:30,1.623
ar 18, 2020,09:30,1.954
ar 11, 2020,09:30,7.664
ar 04, 2020,10:30,0.785
Feb 26, 2020,10:30,0.452
Feb 20, 2020,11:00,0.414
Feb 12, 2020,10:30,7.459
Feb 05, 2020,10:30,3.355
Jan 29, 2020,10:30,3.548
Jan 23, 2020,11:00,-0.405
Jan 15, 2020,10:30,-2.549
Jan 08, 2020,10:30,1.164
Jan 03, 2020,11:00,-11.463
Dec 27, 2019,11:00,-5.474
Dec 18, 2019,10:30,-1.085
Dec 11, 2019,10:30,0.822
Dec 04, 2019,10:30,-4.856
Nov 27, 2019,10:30,1.572
Nov 20, 2019,10:30,1.379
Nov 14, 2019,11:00,2.219
Nov 06, 2019,10:30,7.929
Oct 30, 2019,09:30,5.702
Oct 23, 2019,09:30,-1.699
Oct 17, 2019,10:00,9.281
Oct 09, 2019,09:30,2.927
Oct 02, 2019,09:30,3.100
Sep 25, 2019,09:30,2.412
Sep 18, 2019,09:30,1.058
Sep 11, 2019,09:30,-6.912
Sep 05, 2019,10:00,-4.771
Aug 28, 2019,09:30,-10.027
Aug 21, 2019,09:30,-2.700
Aug 14, 2019,09:30,1.580
Aug 07, 2019,09:30,2.385
Jul 31, 2019,09:30,-8.496
Jul 24, 2019,09:30,-10.835
Jul 17, 2019,09:30,-3.116
Jul 10, 2019,09:30,-9.499
Jul 03, 2019,09:30,-1.085
Jun 26, 2019,09:30,-12.788
Jun 19, 2019,09:30,-3.106
Jun 12, 2019,09:30,2.206
Jun 05, 2019,09:30,6.771
ay 30, 2019,10:00,-0.282
ay 22, 2019,09:30,4.740
ay 15, 2019,09:30,5.431
ay 08, 2019,09:30,-3.963
ay 01, 2019,09:30,9.900
Apr 24, 2019,09:30,5.479
Apr 17, 2019,09:30,-1.396
Apr 10, 2019,09:30,7.029
Apr 03, 2019,09:30,7.238
ar 27, 2019,09:30,2.800
ar 20, 2019,09:30,-9.589
ar 13, 2019,09:30,-3.862
ar 06, 2019,10:30,7.069
Feb 27, 2019,10:30,-8.647
Feb 21, 2019,11:00,3.672
Feb 13, 2019,10:30,3.633
Feb 06, 2019,10:30,1.263
Jan 30, 2019,10:30,0.919
Jan 24, 2019,11:00,7.970
Jan 16, 2019,10:30,-2.683
Jan 09, 2019,10:30,-1.680
Jan 04, 2019,11:00,0.007
Dec 28, 2018,11:00,-0.046
Dec 19, 2018,10:30,-0.497
Dec 12, 2018,10:30,-1.208
Dec 06, 2018,11:00,-7.323
Nov 28, 2018,10:30,3.577
Nov 21, 2018,10:30,4.851
Nov 15, 2018,11:00,10.270
Nov 07, 2018,10:30,5.783
Oct 31, 2018,09:30,3.217
Oct 24, 2018,09:30,6.346
Oct 17, 2018,09:30,6.490
Oct 11, 2018,10:00,5.987
Oct 03, 2018,09:30,7.975
Sep 26, 2018,09:30,1.852
Sep 19, 2018,09:30,-2.057
Sep 12, 2018,09:30,-5.296
Sep 06, 2018,10:00,-4.302
Aug 29, 2018,09:30,-2.566
Aug 22, 2018,09:30,-5.836
Aug 15, 2018,09:30,6.805
Aug 08, 2018,09:30,-1.351
Aug 01, 2018,09:30,3.803
Jul 25, 2018,09:30,-6.147
Jul 18, 2018,09:30,5.836
Jul 11, 2018,09:30,-12.633
Jul 05, 2018,10:00,1.245
Jun 27, 2018,09:30,-9.891
Jun 20, 2018,09:30,-5.914
Jun 13, 2018,09:30,-4.143
Jun 06, 2018,09:30,2.072
ay 31, 2018,10:00,-3.620
ay 23, 2018,09:30,5.778
ay 16, 2018,09:30,-1.404
ay 09, 2018,09:30,-2.197
ay 02, 2018,09:30,6.218
Apr 25, 2018,09:30,2.170
Apr 18, 2018,09:30,-1.071
Apr 11, 2018,09:30,3.306
Apr 04, 2018,09:30,-4.617
ar 28, 2018,09:30,1.643
ar 21, 2018,09:30,-2.622
ar 14, 2018,09:30,5.022
ar 07, 2018,10:30,2.408
Feb 28, 2018,10:30,3.019
Feb 22, 2018,11:00,-1.616
Feb 14, 2018,10:30,1.841
Feb 07, 2018,10:30,1.895
Jan 31, 2018,10:30,6.776
Jan 24, 2018,10:30,-1.071
Jan 18, 2018,11:00,-6.861
Jan 10, 2018,10:30,-4.948
Jan 04, 2018,11:00,-7.419
Dec 28, 2017,11:00,-4.609
Dec 20, 2017,10:30,-6.495
Dec 13, 2017,10:30,-5.117
Dec 06, 2017,10:30,-5.610
Nov 29, 2017,10:30,-3.429
Nov 22, 2017,10:30,-1.855
Nov 15, 2017,10:30,1.854
Nov 08, 2017,10:30,2.237
Nov 01, 2017,09:30,-2.435
Oct 25, 2017,09:30,0.856
Oct 18, 2017,09:30,-5.731
Oct 12, 2017,10:00,-2.747
Oct 04, 2017,09:30,-6.023
Sep 27, 2017,09:30,-1.846
Sep 20, 2017,09:30,4.591
Sep 13, 2017,09:30,5.888
Sep 07, 2017,10:00,4.580
Aug 30, 2017,09:30,-5.392
Aug 23, 2017,09:30,-3.327
Aug 16, 2017,09:30,-8.945
Aug 09, 2017,09:30,-6.451
Aug 02, 2017,09:30,-1.527
Jul 26, 2017,09:30,-7.208
Jul 19, 2017,09:30,-4.727
Jul 12, 2017,09:30,-7.564
Jul 06, 2017,10:00,-6.299
Jun 28, 2017,09:30,0.118
Jun 21, 2017,09:30,-2.451
Jun 14, 2017,09:30,-1.661
Jun 07, 2017,09:30,3.295
Jun 01, 2017,10:00,-6.428
ay 24, 2017,09:30,-4.432
ay 17, 2017,09:30,-1.753
ay 10, 2017,09:30,-5.247
ay 03, 2017,09:30,-0.930
Apr 26, 2017,09:30,-3.641
Apr 19, 2017,09:30,-1.034
Apr 12, 2017,09:30,-2.166
Apr 05, 2017,09:30,1.566
ar 29, 2017,09:30,0.867
ar 22, 2017,09:30,4.954
ar 15, 2017,09:30,-0.237
ar 08, 2017,10:30,8.209
ar 01, 2017,10:30,1.501
Feb 23, 2017,11:00,0.564
Feb 15, 2017,10:30,9.527
Feb 08, 2017,10:30,13.830
Feb 01, 2017,10:30,6.466
Jan 25, 2017,10:30,2.840
Jan 19, 2017,11:00,2.347
Jan 11, 2017,10:30,4.097
Jan 05, 2017,11:00,-7.051
Dec 29, 2016,11:00,0.614
Dec 21, 2016,10:30,2.256
Dec 14, 2016,10:30,-2.563
Dec 07, 2016,10:30,-2.389
Nov 30, 2016,10:30,-0.884
Nov 23, 2016,10:30,-1.255
Nov 16, 2016,10:30,5.274
Nov 09, 2016,10:30,2.432
Nov 02, 2016,09:30,14.420
Oct 26, 2016,09:30,-0.553
Oct 19, 2016,09:30,-5.247
Oct 13, 2016,10:00,4.900
Oct 05, 2016,09:30,-2.976
Sep 28, 2016,09:30,-1.882
Sep 21, 2016,09:30,-6.200
Sep 14, 2016,09:30,-0.559
Sep 08, 2016,10:00,-14.513
Aug 31, 2016,09:30,2.276
Aug 24, 2016,09:30,2.501
Aug 17, 2016,09:30,-2.508
Aug 10, 2016,09:30,1.055
Aug 03, 2016,09:30,1.413
Jul 27, 2016,09:30,1.671
Jul 20, 2016,09:30,-2.342
Jul 13, 2016,09:30,-2.546
Jul 07, 2016,10:00,-2.223
Jun 29, 2016,09:30,-4.053
Jun 22, 2016,09:30,-0.917
Jun 15, 2016,09:30,-0.933
Jun 08, 2016,09:30,-3.226
